"rep","estimate","se"
1,0.693033468328848,0.146250009512949
2,0.707993315179636,0.166547990487465
3,0.638504220557883,0.147246863798108
4,0.623730354481777,0.125359350673759
5,0.491972724769463,0.0946713439458979
6,0.626824885508136,0.111436235714546
7,0.657852151913904,0.0847821914440977
8,0.566413339035918,0.126375325185885
9,0.793714142372995,0.167267559656087
10,0.504365427519779,0.0911955395918736
11,0.543954181236832,0.093935132100578
12,0.435359944629756,0.0835085911492072
13,0.485974460540398,0.100341434130393
14,0.468682380165118,0.0957927989504137
15,0.605355860751325,0.132151945650962
16,0.825078117156711,0.145885092615318
17,0.488587305720499,0.0883499594723293
18,0.581778090271784,0.0966128693294624
19,0.664550781362097,0.107254853985088
20,0.555747132327999,0.105555818812191
21,0.509821765557102,0.0983237454483453
22,0.735744196279779,0.142181053514524
23,0.649258526764473,0.0879532140611822
24,0.701577736655094,0.107379014142933
25,0.647282108688047,0.110988127912617
26,0.485888499656499,0.151156713674061
27,0.570798020508749,0.107605258318111
28,0.57309265095877,0.107317586425298
29,0.606610672341105,0.106195065873049
30,0.651879249136629,0.0883606186703876
31,0.51378083389892,0.10147832298425
32,0.658861728561341,0.109229659991707
33,0.410566037745569,0.117777265166042
34,0.533772297293545,0.108381996125437
35,0.563251000367567,0.0826749214034708
36,0.577309431063943,0.123725297507345
37,0.531841184224343,0.114256539740578
38,0.645688201585884,0.131310676389315
39,0.579155735939909,0.0937344515809049
40,0.603261191109566,0.0972751160866814
41,0.604531543034877,0.102252419624922
42,0.707539185879311,0.1311853657428
43,0.680196673145575,0.125850490787622
44,0.537725359516441,0.116433691007456
45,0.806051693082357,0.147481395810673
46,0.573355642981475,0.0912809700290011
47,0.676507564688537,0.0913271710801579
48,0.760510380789916,0.132386341666064
49,0.937355000079823,0.161508833486686
50,0.644211978848783,0.150928068879197
51,0.397639068864146,0.071802832868131
52,0.503939357772963,0.125483156056231
53,0.624491630731575,0.114917437452206
54,0.663787034115805,0.181257932060637
55,0.532352972950857,0.0970224049957019
56,0.506495734689401,0.117658897838608
57,0.700011333469271,0.174020858500002
58,0.619384218623392,0.109428285590908
59,0.582312726740743,0.1057967332172
60,0.467851481124083,0.105601553423921
61,0.566634544430247,0.110694123734626
62,0.663877772082094,0.0908285116940191
63,0.557484167666084,0.104997604542644
64,0.603511308664415,0.0954494083000293
65,0.566341619728889,0.105853747922448
66,0.670532391994307,0.156582731113978
67,0.640655426943558,0.114252164154653
68,0.729120094835225,0.172419404814009
69,0.56769047426057,0.109466491903061
70,0.514670495988071,0.10537112864063
71,1.15135165550426,0.230928099017293
72,0.586722322321734,0.100672431124263
73,0.388345586067862,0.0720576699086899
74,0.584471940631113,0.0816932106390245
75,0.533983285041058,0.102950496628308
76,0.558310061608138,0.0944946647371536
77,0.748232807507211,0.11066513557092
78,0.61875887817463,0.0993220229938545
79,0.565081036102079,0.096833453835034
80,0.56560617256012,0.0917907458160663
81,0.733522663487494,0.133210797741736
82,0.468144857675183,0.0819581233228138
83,0.504031959383377,0.0891195637119617
84,1.03424099384866,0.235047600923085
85,0.585710633490763,0.0867484692813405
86,0.524364954902654,0.078104606867988
87,0.544249742455877,0.0953356471547362
88,0.52406138745307,0.0840333358767045
89,0.465268683412779,0.082261549921533
90,0.422331406654731,0.0789347842031694
91,0.46770329031567,0.0890050455874592
92,0.685527416876854,0.103394496300923
93,0.712595680755864,0.123546471514694
94,0.734341623178492,0.116775411910223
95,0.43243003642699,0.0762323476519857
96,0.44962654832068,0.111751704120595
97,0.66478461845773,0.113106502266157
98,0.589902429019576,0.10641893145286
99,0.851686492621881,0.136642693200673
100,0.753464083713363,0.144938280031983
101,0.643253940848326,0.109182085730597
102,0.682408524855372,0.125364092547813
103,0.536810602321098,0.106456075625381
104,0.560154189944541,0.129856805486245
105,0.480039446899602,0.0970089876255647
106,0.55776280147856,0.109282945542939
107,0.734437715812636,0.114018826863095
108,0.641437990904922,0.107139179930286
109,0.505095187926445,0.0879848706418618
110,0.81620224234065,0.146815414302556
111,0.547479460676555,0.0882157977435862
